text_display,video_source
"Jir bneran jd ga trtarik buat nonton timnas saat ini..
 Dari vs Filipina kmrn smpai Myanmar, jdwl tanding aja kagak tau gw..
 Tiba2 aja udh nongol skor nya wkwkw..",Youtube
"taktik 2%, sujud 98%",Youtube
Dampak mafiaaa...jdi pecundang,Youtube
Kadek Arel bek gemoy gitu ngapain sih dipake,Youtube
Bingung liat permainannya,Youtube
"Alhamdulillah,malaysia ke final.
 Indonesia underdog dan cemen",Youtube
"Bahaya ni timnas kalo ET masih jadi ketum PSSI,
 Sty harus in ,
 Semua hancur setelah sty out",Youtube
Punya pelatih berkualitas.. Ganti.. Pk kumis.. Hadehhhh,Youtube
Dari pada lihat Indonesia main lebih enak lihat timur leste,Youtube
Menang-is...,Youtube
Salah pelatih mencadangkan jeans naldo,Youtube
"Pak kumis terbukti sebagai pelatih hebat
 Hebat tidak dipecat
 Jelas2 dr awal tidak meyakinkan
 Beda cerita dg sty
 Mungkin si bapak ini pegang rahasia besar",Youtube
Raven di cadangkan,Youtube
Para petinggi pssi senang lihat hoky main di banding raven,Youtube
Makin parah🤣,Youtube
Kontrol bola kaya ngontrol bola pingpong,Youtube
hmmm,Youtube
Mending pelatihnya agen agung aja sekalian dripada taktik nya itu itu mulu.,Youtube
"Salah pelatih, lebih salah lagi yg pilih indra safry. Dan kenapa pak indra masih mau jadi pelatih sih pak?",Youtube
trus mau apa lagi timnas ini 😮😮,Youtube
Pelatih itu terus apa ngak ada lagi pelatih yg lebih bagus😅,Youtube
Ampas pelatih tarkam,Youtube
"Ivar seperti nya tdk dpt tandem yg pas di lapangan tengah.. Di sepak bola itu terkadang ada nama nya pemain cocok""an.. Pemain bagus jika tdk cocok sama tmen sekitar nya seperti tdk keliatan.. Jgn bandingin sama pemain bintang yg bisa maen bagus dmna saja.. Itu beda level🤔",Youtube
Level Timnas sangat jauh turun drastis...😅😮😢😂😢🎉😢😮😮😅,Youtube
Komentatornya menyamakan pemain kayak dukun katanya bs membaca kiper Myanmar akan membuat kesalahan...wkwkwkwkwkwkwkw.......,Youtube
Kesombongam pssi.. gak sadar emas kamboja dari didikan siapa..,Youtube
"sudah tradisi pemain tengah tdk terlihat,lari lari gak karuan,umapn salah mulu",Youtube
"sapri sududnya tidak mengarah ke kiblat,ngwur tu orang",Youtube
"gue bingung, kenapa indta sjafri masih aja jadi oelatih timnas, ydah tau pelatih anyep masih aje di paki",Youtube
"Lihat Thailand - Singapur ,Malaysia - Vietnam kasih stadion dan rumput bagus tapi kenapah indo main ko di stadion kabupaten ,why.
 
  apa emang udh GK ada taring pak Erik sehingga diinjaknya sama Thai ,😅",Youtube
Karma itu nyata,Youtube
Sekelas seagames 😂😂,Youtube
😮,Youtube
Kasihan sama pemain diaspora.. Di kasih pemain lokal dan pelatih lawak... Sedih sedih😭😭,Youtube
Pertahankan sapri kiamat,Youtube
Target ketinggian Filipina,Youtube
PSSI gimana nih,Youtube
ke stelan pabrik lagi,Youtube
Towel matamu wel towel ndi GK wani komen wel kegelapan yg hakiki,Youtube
😂😂😂😂😂😂😂😂 PSSI SUKSES BESAR DENGAN PROYEK NYA .. !!!,Youtube
Hoki itu ngga buat hoki jangan di pake dah,Youtube
Timnas riset pabrik...mulai dari 0 kyk pom bensin..di ajak level asia gak mau maunya level asean.itulah anjuran dari mister towel....,Youtube
pemain g sesuai intruksi n msh disimpan strategi tunggu lengser IS😂😂😂,Youtube
Ivar jenner main konyol cuma pandai main bola geser kebelakang... Pantas cadangan senior pantas juga main cadangan d klub kualitasnya bgtu,Youtube
"Baju merah negara mana ya?
 Kalau indonesia saya rasa tidak seperti itu mainnya. Jauh sekali cara mainnya pada saat berlaga di piala asia kemaren. Koree selatan aja tunduk. Kalau yg ini kyak utusan dari tarkam",Youtube
King indra xaviiiii fernandes,Youtube
Penayangan liga indonesia ambil alih RCTI oke.,Youtube
MAKIN HARI MAKIN PARAH TIMNAS KITA... MENPORA HARUS PECAT KETUM PSSI DAN EXCO KARENA GA BECUS,Youtube
Tengahnya masih koyo jenner terlalu lama bawa bola,Youtube
Lokal prettt bisa apa,Youtube
"Sudah gk kcewa lg klo indo gk lolos.. karna dr match prtama,prmainan sdah tdk meyakinkan...",Youtube
Gambarnya kok jelek amat ya,Youtube
Timnas is back 😂😂😂,Youtube
Sejak d tinggal sty. Timnas jadi bahan tertawaan tim lain apalagi tim yunior dilatih indra Safri. Malah parah sama pilipina aja kalah. Seumur 2 timnas gk pernah kalah dg pilipina baru kali kalah,Youtube
Indra Safri tuh gajinya murah local merakyat jadi logika aj semua org di PSSI tu otaknya pengusaha jadi wajar ada yg murah biarpun bapuk ambil dan pertahankan soalnya kalau mahal nanti anggaran PSSI habis,Youtube
ga usah ditonton timnas era kegelapan ini guys,Youtube
Kadek ..arol jangan di pake...coach kaga resep gua pemain kaya gitu.....bikin sial Kadek arol...,Youtube
